Nombre,Cantidad,Componente
"P1",1,"15 , 5  Suministro de energía"
"R1",1,"1.2 kΩ Resistencia"
"Meter2",1,"Voltaje Multímetro"
"R8",1,"1.8 kΩ Resistencia"
"R2",1,"220 Ω Resistencia"
"R3",1,"470 Ω Resistencia"
"R4",1,"680 kΩ Resistencia"
"R5",1,"820 Ω Resistencia"
"R6",1,"1 kΩ Resistencia"
"R7",1,"1.5 kΩ Resistencia"
"R11",1,"4.7 kΩ Resistencia"
"R9",1,"2.2 kΩ Resistencia"
"R10",1,"3.9 kΩ Resistencia"
